Pointing,GLat,GLong
PKS_0328_2018-07-07T05:00,302.52,-3.44
PKS_0328_2018-07-07T05:00,306.72,-3.44
PKS_0328_2018-07-07T05:00,307.77,-3.64
PKS_0328_2018-07-07T05:00,47.48,1.41
PKS_0328_2018-07-07T05:00,49.58,0.2
PKS_0328_2018-07-07T05:00,306.6,-3.64
PKS_0328_2018-07-07T05:00,350.58,-4.65
PKS_0328_2018-07-07T05:00,351.87,-4.85
PKS_0328_2018-07-07T05:00,11.67,2.42
PKS_0328_2018-07-07T05:00,13.07,2.42
PKS_0328_2018-07-07T05:00,15.98,2.63
PKS_0328_2018-07-07T05:00,29.28,1.41
PKS_0328_2018-07-07T05:00,30.92,1.41
PKS_0328_2018-07-07T05:00,41.77,1.21
PKS_0328_2018-07-07T05:00,44.68,1.41
PKS_0328_2018-07-07T05:00,51.68,-1.01
PKS_0328_2018-07-07T05:00,54.72,-1.01
PKS_0328_2018-07-07T05:00,305.08,-3.44
PKS_0328_2018-07-07T05:00,306.37,-3.64
PKS_0328_2018-07-07T05:00,18.67,2.42
PKS_0328_2018-07-07T05:00,32.08,1.41
PKS_0328_2018-07-07T05:00,41.88,1.41
PKS_0328_2018-07-07T05:00,42.0,1.21
PKS_0328_2018-07-07T05:00,43.17,1.21
PKS_0328_2018-07-07T05:00,50.4,-1.21
PKS_0328_2018-07-07T05:00,51.92,-1.01
PKS_0328_2018-07-07T05:00,57.28,-1.01
PKS_0328_2018-07-07T05:00,58.57,-1.21
PKS_0328_2018-07-07T05:00,51.22,0.2
PKS_0328_2018-07-07T05:00,305.2,-3.64
PKS_0328_2018-07-07T05:00,305.32,-3.44
PKS_0328_2018-07-07T05:00,29.52,1.41
PKS_0328_2018-07-07T05:00,43.28,1.41
PKS_0328_2018-07-07T05:00,53.32,-1.01
PKS_0328_2018-07-07T05:00,303.8,-3.64
PKS_0328_2018-07-07T05:00,303.92,-3.44
PKS_0328_2018-07-07T05:00,349.42,-4.65
PKS_0328_2018-07-07T05:00,350.47,-4.85
PKS_0328_2018-07-07T05:00,4.78,5.05
PKS_0328_2018-07-07T05:00,6.77,6.06
PKS_0328_2018-07-07T05:00,9.57,3.64
PKS_0328_2018-07-07T05:00,9.8,3.64
PKS_0328_2018-07-07T05:00,10.62,2.63
PKS_0328_2018-07-07T05:00,30.68,1.41
PKS_0328_2018-07-07T05:00,42.12,1.41
PKS_0328_2018-07-07T05:00,49.0,1.21
PKS_0328_2018-07-07T05:00,51.57,-1.21
PKS_0328_2018-07-07T05:00,51.8,-1.21
PKS_0328_2018-07-07T05:00,52.97,-1.21
PKS_0328_2018-07-07T05:00,49.47,0.0
PKS_0328_2018-07-07T05:00,57.4,-1.21
PKS_0328_2018-07-07T05:00,50.87,0.0
PKS_0328_2018-07-07T05:00,50.98,0.2
PKS_0328_2018-07-07T05:00,52.27,0.0
PKS_0328_2018-07-07T05:00,306.48,-3.44
PKS_0328_2018-07-07T05:00,308.0,-3.64
PKS_0328_2018-07-07T05:00,350.82,-4.65
PKS_0328_2018-07-07T05:00,9.68,3.84
PKS_0328_2018-07-07T05:00,10.38,2.63
PKS_0328_2018-07-07T05:00,13.18,2.63
PKS_0328_2018-07-07T05:00,16.22,2.63
PKS_0328_2018-07-07T05:00,17.27,2.42
PKS_0328_2018-07-07T05:00,17.5,2.42
PKS_0328_2018-07-07T05:00,32.32,1.41
PKS_0328_2018-07-07T05:00,55.88,-1.01
PKS_0328_2018-07-07T05:00,308.12,-3.44
PKS_0328_2018-07-07T05:00,4.2,6.06
PKS_0328_2018-07-07T05:00,16.1,2.42
PKS_0328_2018-07-07T05:00,30.8,1.21
PKS_0328_2018-07-07T05:00,31.97,1.21
