PointingLowerHalf,GLat,GLong
PKS_0672_2020-10-29T02:00,353.15,+0.20
PKS_0672_2020-10-29T02:00,354.43,+0.20
PKS_0672_2020-10-29T02:00,357.23,+0.20
PKS_0672_2020-10-29T02:00,357.12,+0.20
PKS_0672_2020-10-29T02:00,357.35,+0.20
PKS_0672_2020-10-29T02:00,358.40,+0.20
PKS_0672_2020-10-29T02:00,358.63,+0.20
PKS_0672_2020-10-29T02:00,358.52,+0.20
PKS_0672_2020-10-29T02:00,358.75,+0.20
PKS_0672_2020-10-29T02:00,359.80,+0.20
PKS_0672_2020-10-29T02:00,360.03,+0.20
PKS_0672_2020-10-29T02:00,359.92,+0.20
PKS_0672_2020-10-29T02:00,360.15,+0.20
PKS_0672_2020-10-29T02:00,350.00,+0.20
PKS_0672_2020-10-29T02:00,350.23,+0.20
PKS_0672_2020-10-29T02:00,350.12,+0.20
PKS_0672_2020-10-29T02:00,350.35,+0.20
PKS_0672_2020-10-29T02:00,351.40,+0.20
PKS_0672_2020-10-29T02:00,351.63,+0.20
PKS_0672_2020-10-29T02:00,351.52,+0.20
PKS_0672_2020-10-29T02:00,351.75,+0.20
PKS_0672_2020-10-29T02:00,352.80,+0.20
PKS_0672_2020-10-29T02:00,353.03,+0.20
PKS_0672_2020-10-29T02:00,352.92,+0.20
PKS_0672_2020-10-29T02:00,354.20,+0.20
PKS_0672_2020-10-29T02:00,354.32,+0.20
PKS_0672_2020-10-29T02:00,354.55,+0.20
PKS_0672_2020-10-29T02:00,355.60,+0.20
PKS_0672_2020-10-29T02:00,355.83,+0.20
PKS_0672_2020-10-29T02:00,355.72,+0.20
PKS_0672_2020-10-29T02:00,355.95,+0.20
PKS_0672_2020-10-29T02:00,357.00,+0.20
PKS_0671_2020-10-28T02:00,14.35,+0.20
PKS_0671_2020-10-28T02:00,15.40,+0.20
PKS_0671_2020-10-28T02:00,15.63,+0.20
PKS_0671_2020-10-28T02:00,15.52,+0.20
PKS_0671_2020-10-28T02:00,15.75,+0.20
PKS_0671_2020-10-28T02:00,16.80,+0.20
PKS_0671_2020-10-28T02:00,17.03,+0.20
PKS_0671_2020-10-28T02:00,16.92,+0.20
PKS_0671_2020-10-28T02:00,17.15,+0.20
PKS_0671_2020-10-28T02:00,18.20,+0.20
PKS_0671_2020-10-28T02:00,18.43,+0.20
PKS_0671_2020-10-28T02:00,18.32,+0.20
PKS_0671_2020-10-28T02:00,18.55,+0.20
PKS_0671_2020-10-28T02:00,19.60,+0.20
PKS_0671_2020-10-28T02:00,19.83,+0.20
PKS_0671_2020-10-28T02:00,19.72,+0.20
PKS_0671_2020-10-28T02:00,19.95,+0.20
PKS_0671_2020-10-28T02:00,21.00,+0.20
PKS_0671_2020-10-28T02:00,21.23,+0.20
PKS_0671_2020-10-28T02:00,21.12,+0.20
PKS_0671_2020-10-28T02:00,21.35,+0.20
PKS_0671_2020-10-28T02:00,22.40,+0.20
PKS_0671_2020-10-28T02:00,22.63,+0.20
PKS_0671_2020-10-28T02:00,22.52,+0.20
PKS_0671_2020-10-28T02:00,22.75,+0.20
PKS_0671_2020-10-28T02:00,23.80,+0.20
PKS_0671_2020-10-28T02:00,24.03,+0.20
PKS_0671_2020-10-28T02:00,23.92,+0.20
PKS_0671_2020-10-28T02:00,24.15,+0.20
PKS_0671_2020-10-28T02:00,25.20,+0.20
PKS_0671_2020-10-28T02:00,25.43,+0.20
PKS_0671_2020-10-28T02:00,25.32,+0.20
PKS_0671_2020-10-28T02:00,25.55,+0.20
PKS_0671_2020-10-28T02:00,26.60,+0.20
PKS_0671_2020-10-28T02:00,26.83,+0.20
PKS_0671_2020-10-28T02:00,26.72,+0.20
PKS_0671_2020-10-28T02:00,26.95,+0.20
PKS_0671_2020-10-28T02:00,28.00,+0.20
PKS_0671_2020-10-28T02:00,28.23,+0.20
PKS_0671_2020-10-28T02:00,28.12,+0.20
PKS_0671_2020-10-28T02:00,28.35,+0.20
PKS_0671_2020-10-28T02:00,29.40,+0.20
PKS_0671_2020-10-28T02:00,29.63,+0.20
PKS_0671_2020-10-28T02:00,29.52,+0.20
PKS_0671_2020-10-28T02:00,29.75,+0.20
PKS_0671_2020-10-28T02:00,30.80,+0.20
PKS_0671_2020-10-28T02:00,31.03,+0.20
PKS_0671_2020-10-28T02:00,30.92,+0.20
PKS_0671_2020-10-28T02:00,31.15,+0.20
PKS_0671_2020-10-28T02:00,32.20,+0.20
PKS_0671_2020-10-28T02:00,32.43,+0.20
PKS_0671_2020-10-28T02:00,32.32,+0.20
PKS_0671_2020-10-28T02:00,32.55,+0.20
PKS_0671_2020-10-28T02:00,33.60,+0.20
PKS_0671_2020-10-28T02:00,33.83,+0.20
PKS_0671_2020-10-28T02:00,33.72,+0.20
PKS_0671_2020-10-28T02:00,33.95,+0.20
